"Membership Type","Bike","  Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"24-Hour Kiosk (Austin B-cycle)","411.0","5/1/2014","11:12:00","5th & Bowie","City Hall / Lavaca & 2nd","5.0"
"24-Hour Kiosk (Austin B-cycle)","235.0","5/1/2014","11:12:00","3rd & West","Riverside @ S. Lamar","13.0"
"24-Hour Kiosk (Austin B-cycle)","925.0","5/1/2014","11:12:00","3rd & West","Riverside @ S. Lamar","11.0"
"24-Hour Kiosk (Austin B-cycle)","104.0","5/1/2014","11:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","31.0"
"Annual Membership (Austin B-cycle)","134.0","5/1/2014","11:12:00","Barton Springs & Riverside","8th & Guadalupe","9.0"
"Annual Membership (Austin B-cycle)","805.0","5/1/2014","11:12:00","City Hall / Lavaca & 2nd","8th & Congress","5.0"
"Annual Membership (Austin B-cycle)","517.0","5/1/2014","11:12:00","City Hall / Lavaca & 2nd","8th & Congress","5.0"
"24-Hour Kiosk (Austin B-cycle)","40.0","5/1/2014","11:12:00","Barton Springs Pool","Convention Center / 4th St. @ MetroRail","24.0"
"24-Hour Kiosk (Austin B-cycle)","153.0","5/1/2014","11:12:00","Pfluger Bridge @ W 2nd Street","Republic Square @ Guadalupe & 4th St.","22.0"
"24-Hour Kiosk (Austin B-cycle)","407.0","5/1/2014","11:12:00","South Congress & Academy","Guadalupe & 21st","28.0"
"24-Hour Kiosk (Austin B-cycle)","559.0","5/1/2014","11:12:00","South Congress & Academy","Guadalupe & 21st","28.0"
"24-Hour Kiosk (Austin B-cycle)","8.0","5/1/2014","11:12:00","Pfluger Bridge @ W 2nd Street","Republic Square @ Guadalupe & 4th St.","22.0"
"24-Hour Kiosk (Austin B-cycle)","299.0","5/1/2014","11:12:00","Pfluger Bridge @ W 2nd Street","Republic Square @ Guadalupe & 4th St.","21.0"
"24-Hour Kiosk (Austin B-cycle)","281.0","5/1/2014","11:12:00","5th & Bowie","South Congress & Academy","21.0"
"24-Hour Kiosk (Austin B-cycle)","772.0","5/1/2014","11:12:00","South Congress & James","South Congress & James","122.0"
"24-Hour Kiosk (Austin B-cycle)","459.0","5/1/2014","11:12:00","5th & Bowie","South Congress & Academy","21.0"
"24-Hour Kiosk (Austin B-cycle)","113.0","5/1/2014","11:12:00","Pfluger Bridge @ W 2nd Street","Republic Square @ Guadalupe & 4th St.","21.0"
"24-Hour Kiosk (Austin B-cycle)","938.0","5/1/2014","11:12:00","Pfluger Bridge @ W 2nd Street","Republic Square @ Guadalupe & 4th St.","20.0"
"Annual Membership (Austin B-cycle)","646.0","5/1/2014","11:12:00","ACC - West & 12th","8th & Congress","8.0"
"Annual Membership (Austin B-cycle)","411.0","5/1/2014","11:12:00","City Hall / Lavaca & 2nd","4th & Congress","4.0"
"24-Hour Kiosk (Austin B-cycle)","522.0","5/1/2014","11:12:00","Davis at Rainey Street","State Parking Garage @ Brazos & 18th","15.0"
"Annual Membership (Austin B-cycle)","414.0","5/1/2014","12:12:00","Capitol Station / Congress & 11th","City Hall / Lavaca & 2nd","7.0"
"Annual Membership (Austin B-cycle)","560.0","5/1/2014","12:12:00","ACC - West & 12th","17th & Guadalupe","5.0"
"Annual Membership (Austin B-cycle)","370.0","5/1/2014","12:12:00","17th & Guadalupe","Bullock Museum @ Congress & MLK","35.0"
"24-Hour Kiosk (Austin B-cycle)","593.0","5/1/2014","12:12:00","Plaza Saltillo","Trinity & 6th Street","103.0"
"24-Hour Kiosk (Austin B-cycle)","329.0","5/1/2014","12:12:00","Plaza Saltillo","Trinity & 6th Street","102.0"
"Annual Membership (Austin B-cycle)","869.0","5/1/2014","12:12:00","8th & Congress","2nd & Congress","7.0"
"24-Hour Kiosk (Austin B-cycle)","559.0","5/1/2014","12:12:00","Guadalupe & 21st","Zilker Park at Barton Springs & William Barton Drive","23.0"
"24-Hour Kiosk (Austin B-cycle)","407.0","5/1/2014","12:12:00","Guadalupe & 21st","Zilker Park at Barton Springs & William Barton Drive","24.0"
"Annual Membership (Austin B-cycle)","302.0","5/1/2014","12:12:00","5th & Bowie","3rd & West","0.0"
"24-Hour Kiosk (Austin B-cycle)","447.0","5/1/2014","12:12:00","Davis at Rainey Street","5th & Bowie","26.0"
"Annual Membership (Austin B-cycle)","517.0","5/1/2014","12:12:00","8th & Congress","City Hall / Lavaca & 2nd","5.0"
"24-Hour Kiosk (Austin B-cycle)","266.0","5/1/2014","12:12:00","Davis at Rainey Street","5th & Bowie","23.0"
"24-Hour Kiosk (Austin B-cycle)","116.0","5/1/2014","12:12:00","Zilker Park at Barton Springs & William Barton Drive","4th & Congress","18.0"
"24-Hour Kiosk (Austin B-cycle)","897.0","5/1/2014","12:12:00","Zilker Park at Barton Springs & William Barton Drive","4th & Congress","18.0"
"24-Hour Kiosk (Austin B-cycle)","800.0","5/1/2014","12:12:00","South Congress & James","South Congress & James","1.0"
"24-Hour Kiosk (Austin B-cycle)","800.0","5/1/2014","12:12:00","South Congress & James","South Congress & James","0.0"
"24-Hour Kiosk (Austin B-cycle)","588.0","5/1/2014","13:12:00","Convention Center / 4th St. @ MetroRail","Capitol Station / Congress & 11th","14.0"
"Annual Membership (Austin B-cycle)","164.0","5/1/2014","13:12:00","Bullock Museum @ Congress & MLK","UT West Mall @ Guadalupe","25.0"
